Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
19/ 02/ 2019,11900.00,33300.00,116300.00,24350.00,28600.00,25950.00,27150.00,31450.00,13200.00,13050.00
20/ 02/ 2019,11900.00,33150.00,116250.00,24300.00,28450.00,26000.00,27050.00,31300.00,13200.00,13050.00
21/ 02/ 2019,11900.00,33150.00,116400.00,24300.00,28400.00,25850.00,27250.00,31350.00,13200.00,13100.00
22/ 02/ 2019,11900.00,33100.00,116400.00,24300.00,28450.00,25950.00,27150.00,31450.00,13200.00,13100.00
25/ 02/ 2019,11900.00,32900.00,116300.00,24200.00,28700.00,26000.00,27200.00,31700.00,13200.00,13150.00
26/ 02/ 2019,11900.00,32950.00,116400.00,24150.00,28850.00,26100.00,27000.00,31700.00,13200.00,13150.00
27/ 02/ 2019,11900.00,32700.00,116100.00,24050.00,28800.00,25950.00,26950.00,31550.00,13200.00,13100.00
28/ 02/ 2019,11900.00,32800.00,116450.00,24150.00,29000.00,26100.00,27000.00,31700.00,13200.00,13150.00
01/ 03/ 2019,11900.00,32700.00,116450.00,24050.00,29000.00,26050.00,27050.00,32150.00,13200.00,13150.00
04/ 03/ 2019,11850.00,32350.00,116900.00,24000.00,29800.00,26150.00,26700.00,33350.00,13150.00,13150.00
05/ 03/ 2019,11850.00,32300.00,116850.00,23950.00,30150.00,26200.00,26950.00,33500.00,13200.00,13150.00
06/ 03/ 2019,11850.00,32200.00,116550.00,24050.00,30650.00,26650.00,27100.00,33950.00,13150.00,13200.00
07/ 03/ 2019,10900.00,26500.00,106150.00,19500.00,25000.00,21500.00,22400.00,27250.00,12450.00,13250.00
08/ 03/ 2019,11850.00,32050.00,116650.00,24000.00,30950.00,26950.00,27150.00,33750.00,13150.00,13200.00
11/ 03/ 2019,11850.00,32200.00,116400.00,23850.00,32100.00,28200.00,27450.00,34500.00,13200.00,13200.00
12/ 03/ 2019,11850.00,32200.00,116400.00,23800.00,32550.00,28600.00,28550.00,35150.00,13200.00,13200.00
13/ 03/ 2019,11850.00,32250.00,116400.00,23750.00,32800.00,29050.00,28200.00,35200.00,13150.00,13250.00
14/ 03/ 2019,11850.00,32300.00,116400.00,23750.00,32950.00,29350.00,28400.00,35700.00,13150.00,13250.00
15/ 03/ 2019,11850.00,32400.00,116400.00,23800.00,33050.00,29950.00,28500.00,35700.00,13150.00,13250.00
18/ 03/ 2019,11850.00,32550.00,116400.00,23750.00,33650.00,30900.00,29200.00,35900.00,13150.00,13250.00
19/ 03/ 2019,11850.00,32600.00,116400.00,23800.00,33700.00,31300.00,29150.00,35850.00,13150.00,13250.00
20/ 03/ 2019,11800.00,32450.00,116550.00,23500.00,33650.00,31300.00,28650.00,35250.00,13100.00,13200.00
21/ 03/ 2019,11850.00,32500.00,116400.00,23700.00,33750.00,31450.00,29300.00,35750.00,13150.00,13250.00
22/ 03/ 2019,11850.00,32550.00,116400.00,23650.00,33950.00,31550.00,29450.00,35650.00,13200.00,13250.00
25/ 03/ 2019,11800.00,32500.00,116400.00,23750.00,35900.00,32200.00,29950.00,35550.00,13150.00,13250.00
26/ 03/ 2019,11800.00,32450.00,116450.00,23850.00,36150.00,32350.00,29850.00,35400.00,13150.00,13250.00
27/ 03/ 2019,11800.00,32250.00,116300.00,23850.00,36500.00,32450.00,29950.00,35100.00,13150.00,13250.00
28/ 03/ 2019,11800.00,32300.00,116350.00,23850.00,36850.00,32800.00,30150.00,35000.00,13150.00,13250.00
29/ 03/ 2019,11800.00,32150.00,116300.00,23850.00,37050.00,33150.00,30150.00,35400.00,13200.00,13250.00
01/ 04/ 2019,11750.00,32000.00,116300.00,23900.00,37600.00,34950.00,29700.00,35100.00,13150.00,13250.00
02/ 04/ 2019,11750.00,32050.00,116400.00,23850.00,38000.00,35650.00,29700.00,34750.00,13150.00,13250.00
03/ 04/ 2019,11200.00,31700.00,101900.00,26150.00,40000.00,34000.00,37800.00,41000.00,13050.00,14650.00
04/ 04/ 2019,11750.00,32000.00,116300.00,23850.00,38350.00,36400.00,30700.00,35000.00,13150.00,13250.00
05/ 04/ 2019,11750.00,32000.00,116250.00,23900.00,38550.00,36650.00,31050.00,35100.00,13150.00,13300.00
08/ 04/ 2019,11750.00,32150.00,116300.00,23900.00,39000.00,37200.00,31750.00,35850.00,13150.00,13250.00
09/ 04/ 2019,11750.00,32200.00,116350.00,23950.00,39250.00,37550.00,31750.00,36050.00,13150.00,13300.00
10/ 04/ 2019,11750.00,32300.00,116350.00,24050.00,39400.00,38000.00,31800.00,35900.00,13150.00,13300.00
11/ 04/ 2019,11750.00,32500.00,116350.00,24050.00,39600.00,38200.00,31700.00,35750.00,13150.00,13300.00
12/ 04/ 2019,11750.00,32800.00,116350.00,24100.00,39850.00,38650.00,31850.00,36000.00,13150.00,13300.00
15/ 04/ 2019,11700.00,33100.00,116300.00,24150.00,40800.00,41800.00,32300.00,36300.00,13150.00,13250.00
16/ 04/ 2019,11700.00,33300.00,116300.00,24150.00,40850.00,42850.00,32250.00,36050.00,13150.00,13300.00
17/ 04/ 2019,12600.00,35100.00,120650.00,27250.00,39750.00,42600.00,26100.00,39300.00,13450.00,13450.00
18/ 04/ 2019,11800.00,33750.00,116500.00,24350.00,41550.00,44300.00,33150.00,39800.00,13150.00,13350.00
19/ 04/ 2019,9600.00,35000.00,111250.00,23500.00,45000.00,52000.00,24500.00,22000.00,11600.00,12000.00
22/ 04/ 2019,11700.00,34200.00,116450.00,24300.00,41400.00,46900.00,35400.00,41650.00,13150.00,13300.00
23/ 04/ 2019,11700.00,34500.00,116500.00,24400.00,41550.00,47300.00,35850.00,41350.00,13150.00,13300.00
24/ 04/ 2019,11700.00,34900.00,116500.00,24350.00,41500.00,47350.00,35200.00,40550.00,13150.00,13300.00
25/ 04/ 2019,11700.00,35050.00,116550.00,24350.00,41600.00,47850.00,35150.00,40650.00,13150.00,13300.00
26/ 04/ 2019,11700.00,35250.00,116550.00,24400.00,41500.00,48000.00,35350.00,40350.00,13150.00,13300.00
29/ 04/ 2019,11700.00,35700.00,116650.00,24900.00,41150.00,49000.00,35250.00,40100.00,13150.00,13350.00
30/ 04/ 2019,11700.00,35750.00,116700.00,25050.00,41000.00,49700.00,35250.00,41150.00,13150.00,13450.00
01/ 05/ 2019,11550.00,37850.00,110000.00,29500.00,42000.00,44700.00,29900.00,34650.00,13350.00,13950.00
02/ 05/ 2019,11700.00,35950.00,117150.00,25550.00,40350.00,53950.00,36600.00,41250.00,13150.00,13500.00
03/ 05/ 2019,11700.00,36200.00,117350.00,25550.00,40100.00,56450.00,37800.00,40900.00,13150.00,13500.00
06/ 05/ 2019,11700.00,36650.00,117550.00,25800.00,39400.00,64100.00,40600.00,44200.00,13150.00,13600.00
07/ 05/ 2019,11700.00,36550.00,117300.00,25950.00,39050.00,63700.00,41950.00,45550.00,13150.00,13650.00
08/ 05/ 2019,11700.00,36250.00,117350.00,26000.00,38800.00,61350.00,42300.00,45800.00,13150.00,13650.00
09/ 05/ 2019,11700.00,36150.00,117250.00,25950.00,38650.00,59450.00,42700.00,45550.00,13150.00,13700.00
10/ 05/ 2019,11700.00,35950.00,117450.00,25750.00,38600.00,58650.00,42050.00,44600.00,13100.00,13700.00
13/ 05/ 2019,11700.00,35400.00,117350.00,26000.00,37500.00,55250.00,39950.00,41850.00,13150.00,13750.00
14/ 05/ 2019,11700.00,35200.00,117350.00,26050.00,37350.00,53450.00,39200.00,41100.00,13150.00,13750.00
15/ 05/ 2019,11700.00,34850.00,117600.00,26050.00,37300.00,51750.00,38350.00,41100.00,13150.00,13800.00
16/ 05/ 2019,11700.00,34650.00,117250.00,26000.00,36500.00,50100.00,37250.00,39850.00,13150.00,13800.00
17/ 05/ 2019,11700.00,34600.00,117350.00,25950.00,36300.00,49050.00,37000.00,39000.00,13250.00,13800.00
20/ 05/ 2019,11700.00,34200.00,117300.00,26000.00,35450.00,45200.00,36800.00,40350.00,13150.00,13800.00
21/ 05/ 2019,11700.00,34100.00,117250.00,25900.00,35500.00,44550.00,36350.00,40000.00,13150.00,13850.00
22/ 05/ 2019,11700.00,34100.00,117300.00,25900.00,35350.00,43550.00,36000.00,39250.00,13150.00,13850.00
23/ 05/ 2019,11700.00,34150.00,117400.00,25900.00,35200.00,42500.00,36250.00,38850.00,13150.00,13850.00
24/ 05/ 2019,11700.00,34250.00,117350.00,25850.00,35250.00,41950.00,36500.00,38850.00,13150.00,13850.00
27/ 05/ 2019,11700.00,34650.00,117600.00,25750.00,35450.00,41350.00,38400.00,39100.00,13150.00,13850.00
28/ 05/ 2019,11650.00,34700.00,118100.00,25400.00,35600.00,41050.00,39150.00,38700.00,13050.00,13850.00
29/ 05/ 2019,11700.00,35200.00,118300.00,25650.00,35950.00,41550.00,40500.00,39550.00,13200.00,13900.00
30/ 05/ 2019,11400.00,35000.00,115000.00,23000.00,25000.00,37500.00,30000.00,21250.00,12100.00,13250.00
31/ 05/ 2019,11700.00,35800.00,119350.00,25700.00,36650.00,41450.00,44050.00,39150.00,13150.00,13900.00
03/ 06/ 2019,11700.00,37350.00,124850.00,25650.00,38200.00,41900.00,58250.00,43550.00,13150.00,13900.00
04/ 06/ 2019,11700.00,38500.00,126350.00,25700.00,38900.00,42400.00,63600.00,46000.00,13150.00,13900.00
